symbol,entry_date,exit_date,entry_price,exit_price,return,exit_reason,group_id,highlight
AAPL,2020-02-24,2020-02-27,71.963,66.215,-0.07987437988966539,stop_loss,97,True
AAPL,2020-02-27,2020-03-09,68.051,64.436,-0.05312192326343468,stop_loss,99,True
ACN,2020-02-28,2020-03-09,165.772,150.92,-0.08959293487440578,stop_loss,99,True
ACN,2020-03-09,2020-03-12,152.106,140.27,-0.07781415591758367,stop_loss,101,True
AAPL,2020-03-09,2020-03-12,63.85,60.093,-0.05884103367267024,stop_loss,101,True
AAPL,2020-03-12,2020-03-16,61.96,58.636,-0.05364751452550032,stop_loss,103,True
ACN,2020-03-12,2020-03-23,140.703,132.141,-0.060851580989744414,stop_loss,105,True
AAPL,2020-03-16,2020-03-20,58.573,55.496,-0.052532736926570234,stop_loss,104,True
AAPL,2020-03-20,2020-03-23,59.839,54.317,-0.092280953892946,stop_loss,105,True
AAPL,2020-03-23,2020-03-26,55.215,62.565,0.13311600108666122,take_profit,107,True
ACN,2020-03-23,2020-03-26,136.114,157.569,0.15762522591357242,take_profit,107,True
TXN,2020-03-26,2020-04-08,85.128,94.352,0.10835447796259756,take_profit,110,True
ADI,2020-03-27,2020-04-01,80.863,76.179,-0.057925132631735154,stop_loss,109,True
ACN,2020-04-01,2020-04-09,145.825,163.62,0.12202983027601588,take_profit,110,True
IBM,2020-04-21,2020-04-27,85.542,94.487,0.10456851605059492,take_profit,112,True
AMAT,2020-04-21,2020-05-01,47.392,44.533,-0.06032663740715738,stop_loss,113,True
AMD,2020-04-30,2020-05-01,53.43,49.88,-0.06644207374134381,stop_loss,113,True
ADI,2020-05-01,2020-06-02,96.363,106.387,0.10402332845594264,take_profit,117,True
AMAT,2020-05-01,2020-05-08,45.663,51.105,0.11917745220419151,take_profit,115,True
ACN,2020-05-14,2020-05-27,165.079,184.69,0.1187976665717625,take_profit,116,True
AMD,2020-05-27,2020-06-26,53.27,50.1,-0.05950816594706221,stop_loss,118,True
NOW,2020-06-05,2020-07-01,370.0,416.79,0.12645945945945947,take_profit,119,True
AMD,2020-06-26,2020-07-09,51.85,57.26,0.10433944069431034,take_profit,119,True
ADBE,2020-07-14,2020-08-25,435.74,484.43,0.11174094643594801,take_profit,121,True
ADI,2020-07-14,2020-11-05,105.831,119.388,0.1281004620574313,take_profit,127,True
AAPL,2020-09-03,2020-09-08,123.448,109.742,-0.11102650508716216,stop_loss,122,True
AAPL,2020-09-08,2020-09-18,110.841,103.925,-0.062395683907579325,stop_loss,123,True
AAPL,2020-09-21,2020-09-30,101.688,112.65,0.10780033042246884,take_profit,124,True
IBM,2020-10-15,2020-10-20,95.59,90.421,-0.05407469400564913,stop_loss,125,True
IBM,2020-10-21,2020-10-27,89.874,85.174,-0.052295435832387493,stop_loss,126,True
ACN,2020-10-27,2020-11-11,205.36,225.949,0.10025808336579667,take_profit,128,True
ADBE,2020-11-10,2021-03-04,466.72,439.06,-0.05926465546794657,stop_loss,132,True
AMD,2020-11-11,2020-11-30,79.39,92.66,0.1671495150522735,take_profit,129,True
CRM,2020-11-30,2020-12-02,242.925,218.482,-0.10061953277760627,stop_loss,130,True
CRM,2020-12-02,2021-01-15,223.133,210.921,-0.05472969036404307,stop_loss,131,True
ADP,2021-01-15,2021-03-05,146.602,161.725,0.10315684642774303,take_profit,133,True
ADI,2021-03-04,2021-05-28,137.784,152.659,0.10795883411716889,take_profit,137,True
AAPL,2021-03-05,2021-04-13,118.059,131.184,0.11117322694584919,take_profit,134,True
INTC,2021-04-15,2021-04-23,58.182,53.88,-0.07394039393626894,stop_loss,135,True
INTC,2021-04-23,2021-05-11,53.807,50.368,-0.06391361718735478,stop_loss,136,True
AAPL,2021-05-11,2021-06-29,120.722,133.264,0.10389158562648082,take_profit,138,True
ORCL,2021-06-16,2021-07-07,73.466,81.097,0.10387117850434224,take_profit,138,True
IBM,2021-07-07,2021-10-21,111.127,103.957,-0.06452077352938534,stop_loss,142,True
ADI,2021-07-08,2021-09-24,150.535,166.278,0.10458033015577772,take_profit,140,True
ADBE,2021-09-28,2021-10-04,596.31,558.49,-0.06342338716439422,stop_loss,141,True
